0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/h1.jpg HTTP/1.1" 200 9528
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/h2.jpg HTTP/1.1" 200 12052
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/h3.jpg HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/h4.jpg HTTP/1.1" 200 8705
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/h5.jpg HTTP/1.1" 200 9382
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/d5.jpg HTTP/1.1" 200 9857
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/h6.jpg HTTP/1.1" 200 6975
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/h7.jpg HTTP/1.1" 200 7942
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/h8.jpg HTTP/1.1" 200 28461
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k1.jpg HTTP/1.1" 200 8511
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k10.jpg HTTP/1.1" 200 18509
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k11.jpg HTTP/1.1" 200 14530
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k12.jpg HTTP/1.1" 200 17279
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k2.jpg HTTP/1.1" 200 12154
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k3.jpg HTTP/1.1" 200 9724
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k4.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k6.jpg HTTP/1.1" 200 24838
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k5.jpg HTTP/1.1" 200 13128
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k7.jpg HTTP/1.1" 200 13864
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k8.jpg HTTP/1.1" 200 12318
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/k9.jpg HTTP/1.1" 200 10719
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa11.jpg HTTP/1.1" 200 14782
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa12.jpg HTTP/1.1" 200 10108
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa13.jpg HTTP/1.1" 200 22912
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa14.jpg HTTP/1.1" 200 22665
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa15.jpg HTTP/1.1" 200 16182
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa16.jpg HTTP/1.1" 200 17338
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa3.jpg HTTP/1.1" 200 18052
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa17.jpg HTTP/1.1" 200 15262
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa1.jpg HTTP/1.1" 200 12512
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa4.jpg HTTP/1.1" 200 15768
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa5.jpg HTTP/1.1" 200 10501
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa7.jpg HTTP/1.1" 200 19663
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa8.jpg HTTP/1.1" 200 14609
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/khoa9.jpg HTTP/1.1" 200 14838
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l1.jpg HTTP/1.1" 200 26647
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l10.jpg HTTP/1.1" 200 12117
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l11.jpg HTTP/1.1" 200 9608
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l12.jpg HTTP/1.1" 200 24217
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l14.jpg HTTP/1.1" 200 10873
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l13.jpg HTTP/1.1" 200 12308
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l15.jpg HTTP/1.1" 200 12515
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l16.jpg HTTP/1.1" 200 7013
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l17.jpg HTTP/1.1" 200 8933
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l2.jpg HTTP/1.1" 200 14218
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l3.jpg HTTP/1.1" 200 9025
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l4.jpg HTTP/1.1" 200 10663
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l5.jpg HTTP/1.1" 200 35622
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l6.jpg HTTP/1.1" 200 10212
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l7.jpg HTTP/1.1" 200 12515
